City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
45,Srednekolymsk,RU,2021-08-08 23:37:23,67.45,153.6833,68.43,39,14,4.72
46,Karasjok,NO,2021-08-08 23:37:24,69.4719,25.5112,59.11,64,100,15.41
47,Sangar,RU,2021-08-08 23:37:24,63.9242,127.4739,67.53,37,5,11.9
48,Lubu,CN,2021-08-08 23:37:24,23.1742,112.2809,82.0,92,100,1.61
49,Cidreira,BR,2021-08-08 23:37:25,-30.1811,-50.2056,60.22,91,1,10.69
50,Norman Wells,CA,2021-08-08 23:37:25,65.282,-126.8329,57.24,58,75,11.5
51,Puerto Ayora,EC,2021-08-08 23:37:25,-0.7393,-90.3518,70.56,89,43,5.01
52,New Norfolk,AU,2021-08-08 23:37:26,-42.7826,147.0587,53.92,77,40,1.01
53,Beringovskiy,RU,2021-08-08 23:37:26,63.05,179.3167,43.95,83,100,19.66
54,Hermanus,ZA,2021-08-08 23:37:26,-34.4187,19.2345,53.91,79,100,14.32
55,Saint George,US,2021-08-08 23:37:27,37.1041,-113.5841,104.47,10,1,4.0
56,San Jose,US,2021-08-08 23:34:53,37.3394,-121.895,94.1,47,75,11.5
57,Port Alfred,ZA,2021-08-08 23:37:27,-33.5906,26.891,59.0,84,47,13.4
58,Souillac,MU,2021-08-08 23:37:27,-20.5167,57.5167,68.38,94,75,3.44
59,Gornopravdinsk,RU,2021-08-08 23:37:28,60.05,69.9,64.74,88,100,3.2
60,Hithadhoo,MV,2021-08-08 23:37:28,-0.6,73.0833,79.95,76,98,4.59
61,Castro,BR,2021-08-08 23:37:28,-24.7911,-50.0119,60.8,59,97,4.52
62,Muravlenko,RU,2021-08-08 23:37:29,63.7898,74.523,59.63,81,37,10.98
63,Kapaa,US,2021-08-08 23:37:29,22.0752,-159.319,86.32,71,40,1.99
64,Celestun,MX,2021-08-08 23:37:29,20.8667,-90.4,84.79,71,19,19.19
65,Hobart,AU,2021-08-08 23:36:23,-42.8794,147.3294,54.27,75,40,4.0
66,Asfi,MA,2021-08-08 23:37:30,32.2994,-9.2372,67.08,79,0,11.7
67,Avarua,CK,2021-08-08 23:37:30,-21.2078,-159.775,77.05,69,75,10.36
68,Barrow,US,2021-08-08 23:37:30,71.2906,-156.7887,39.22,86,90,11.5
69,Komsomolskiy,UZ,2021-08-08 23:37:31,40.4272,71.7189,76.42,43,0,9.22
70,Cape Town,ZA,2021-08-08 23:34:04,-33.9258,18.4232,55.11,92,75,1.99
71,Severo-Kurilsk,RU,2021-08-08 23:37:31,50.6789,156.125,56.34,84,62,12.26
