City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Punta Arenas,CL,-53.15,-70.9167,41.11,75,90,19.57,overcast clouds
70,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,20,5.75,light rain
71,Nanzhang,CN,31.7765,111.8386,73.94,97,100,3.91,moderate rain
72,Bulungu,CD,-4.55,18.6,69.78,64,47,1.68,scattered clouds
73,Georgetown,MY,5.4112,100.3354,87.73,74,20,1.01,few clouds
74,Cabo San Lucas,MX,22.8909,-109.9124,87.51,66,17,2.75,few clouds
75,Aguimes,ES,27.9054,-15.4461,68.63,68,20,20.71,few clouds
76,Guerrero Negro,MX,27.9769,-114.0611,70.84,83,3,16.55,clear sky
77,Farmington,US,36.7281,-108.2187,83.08,12,1,8.05,clear sky
78,Qaanaaq,GL,77.484,-69.3632,37.13,70,93,5.79,overcast clouds
79,Saint-Philippe,RE,-21.3585,55.7679,67.59,85,73,2.82,light rain
80,Omsukchan,RU,62.5333,155.8,61.61,45,10,8.08,clear sky
81,Albany,US,42.6001,-73.9662,71.15,81,7,3.74,clear sky
82,Provideniya,RU,64.3833,-173.3,55.51,62,40,15.66,scattered clouds
83,Deputatskiy,RU,69.3,139.9,74.91,33,14,1.77,few clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,6.91,broken clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.72,84,0,12.44,clear sky
86,Ponta Do Sol,PT,32.6667,-17.1,70.0,71,21,4.88,few clouds
87,Sangmelima,CM,2.9333,11.9833,64.74,99,79,2.53,broken clouds
88,Marawi,PH,7.9986,124.2928,72.03,82,100,1.48,heavy intensity rain
89,Karaton,ID,-6.3424,106.1045,87.96,63,73,4.65,broken clouds
90,Tasiilaq,GL,65.6145,-37.6368,46.56,92,100,18.48,light rain
91,Busselton,AU,-33.65,115.3333,58.05,70,84,26.93,broken clouds
92,Buin,CL,-33.7333,-70.75,44.64,88,8,3.67,clear sky
93,Barcelona,ES,41.3888,2.159,72.72,68,0,1.99,clear sky
94,Mangan,IN,27.5167,88.5333,82.49,76,93,2.68,overcast clouds
95,Bluff,NZ,-46.6,168.3333,43.81,74,100,19.3,overcast clouds
96,Ukiah,US,39.1502,-123.2078,87.69,22,1,0.0,clear sky
97,Maple Creek,CA,49.9168,-109.4848,61.29,59,100,3.44,overcast clouds
98,Plettenberg Bay,ZA,-34.0527,23.3716,55.38,87,100,19.37,light rain
99,Anadyr,RU,64.75,177.4833,52.3,76,75,17.9,broken clouds
100,Victoria,HK,22.2855,114.1577,87.85,86,100,3.2,overcast clouds
101,Severo-Kurilsk,RU,50.6789,156.125,57.11,79,58,12.71,broken clouds
102,Sur,OM,22.5667,59.5289,88.41,58,3,5.35,clear sky
103,Beringovskiy,RU,63.05,179.3167,46.72,77,90,19.01,overcast clouds
104,Qasigiannguit,GL,68.8193,-51.1922,43.05,94,100,6.85,overcast clouds
105,Coromandel,BR,-18.4733,-47.2003,58.93,54,3,3.96,clear sky
106,Bentiu,SS,9.2333,29.8333,70.95,94,99,1.05,overcast clouds
107,Iqaluit,CA,63.7506,-68.5145,44.33,87,90,13.8,overcast clouds
108,Mar Del Plata,AR,-38.0023,-57.5575,48.22,66,0,12.66,clear sky
109,Clyde River,CA,70.4692,-68.5914,43.03,81,90,12.66,overcast clouds
110,Boulder,US,40.0833,-105.3505,77.0,38,1,1.99,clear sky
111,Atuona,PF,-9.8,-139.0333,78.04,77,15,21.07,few clouds
112,Pampa,US,35.5362,-100.9599,85.15,83,1,5.75,clear sky
113,Luwuk,ID,-0.9516,122.7875,83.79,73,69,6.24,broken clouds
114,Mogadishu,SO,2.0371,45.3438,75.87,85,99,17.56,light rain
115,Kalat,PK,29.0225,66.5916,74.84,33,0,5.55,clear sky
116,Bayji,IQ,34.9311,43.487,89.06,26,0,5.28,clear sky
117,Kerema,PG,-7.9631,145.7785,81.45,80,56,8.93,broken clouds
118,Le Vauclin,MQ,14.5452,-60.8388,80.85,74,20,11.5,few clouds
119,Koslan,RU,63.4564,48.8989,51.28,86,100,4.97,overcast clouds
120,Mitsamiouli,KM,-11.3847,43.2844,75.92,63,1,6.17,clear sky
121,Hithadhoo,MV,-0.6,73.0833,81.61,70,93,2.15,overcast clouds
122,Saskylakh,RU,71.9167,114.0833,64.81,54,100,7.52,overcast clouds
123,Butajira,ET,8.1167,38.3667,57.2,88,100,2.77,light rain
124,Takayama,JP,36.1333,137.25,88.47,91,98,15.43,overcast clouds
125,Laguna,US,38.421,-121.4238,89.44,51,1,4.0,clear sky
126,Flin Flon,CA,54.7682,-101.865,58.28,90,35,5.7,scattered clouds
127,Marystown,CA,47.1666,-55.1483,56.75,74,99,16.2,overcast clouds
128,Los Banos,PH,14.1667,121.1833,86.81,56,96,6.64,overcast clouds
129,Kurumkan,RU,54.3,110.3,59.49,83,100,1.28,overcast clouds
130,Farsund,NO,58.0948,6.8047,63.95,89,85,8.52,overcast clouds
131,Brewster,US,41.3973,-73.6171,71.82,91,90,0.0,overcast clouds
132,Moerai,PF,-22.4333,-151.3333,72.9,71,6,9.62,clear sky
133,Vila Velha,BR,-20.3297,-40.2925,64.35,94,0,4.61,clear sky
134,Fortuna,US,40.5982,-124.1573,60.33,69,1,1.01,clear sky
135,San Patricio,US,28.017,-97.5169,86.09,75,3,18.48,clear sky
136,Strood,GB,51.3959,0.4936,60.71,96,96,3.0,moderate rain
137,Mto Wa Mbu,TZ,-3.35,35.85,63.86,75,91,3.27,overcast clouds
138,Itarema,BR,-2.9248,-39.9167,79.16,75,7,15.73,clear sky
139,Florianopolis,BR,-27.6146,-48.5012,61.83,88,75,11.5,broken clouds
140,Hualmay,PE,-11.0964,-77.6139,62.15,82,54,12.28,broken clouds
141,Ribeira Grande,PT,38.5167,-28.7,72.43,89,69,13.56,broken clouds
142,Meulaboh,ID,4.1363,96.1285,82.26,76,80,6.06,broken clouds
143,Novo Aripuana,BR,-5.1206,-60.3797,81.9,51,90,2.53,overcast clouds
144,Sulangan,PH,11.1373,123.7228,81.75,73,100,6.78,light rain
145,Cururupu,BR,-1.8283,-44.8683,74.62,87,2,4.0,clear sky
146,Ahipara,NZ,-35.1667,173.1667,51.69,60,84,20.85,broken clouds
147,Cine,TR,37.6117,28.0614,79.7,63,0,2.84,clear sky
148,Henties Bay,NA,-22.116,14.2845,50.86,92,44,10.38,scattered clouds
149,Umtata,ZA,-31.5889,28.7844,55.96,38,0,13.8,clear sky
150,Rawson,AR,-43.3002,-65.1023,43.65,60,0,6.33,clear sky
151,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,61.39,63,75,11.18,broken clouds
152,Bilma,NE,18.6853,12.9164,88.92,44,66,11.3,broken clouds
153,Benavente,ES,42.0025,-5.6783,50.11,76,100,6.67,overcast clouds
154,Seoul,KR,37.5683,126.9778,91.0,45,0,11.5,clear sky
155,Ucluelet,CA,48.9329,-125.5528,69.1,88,3,4.94,clear sky
156,Mezen,RU,65.8522,44.24,53.15,74,100,5.84,overcast clouds
157,Te Anau,NZ,-45.4167,167.7167,40.64,84,53,1.88,broken clouds
158,Camana,PE,-16.6228,-72.7111,59.59,86,98,10.16,overcast clouds
159,Jaciara,BR,-15.9653,-54.9683,71.04,43,61,3.33,broken clouds
160,Cabra,ES,37.4725,-4.4421,70.9,52,0,3.11,clear sky
161,Mount Clemens,US,42.5973,-82.878,81.14,81,40,4.61,scattered clouds
162,Isangel,VU,-19.55,169.2667,77.11,65,75,16.11,broken clouds
163,Erzin,TR,36.9559,36.2,77.72,82,0,1.63,clear sky
164,Sola,VU,-13.8833,167.55,76.24,82,100,16.37,overcast clouds
165,Kaitangata,NZ,-46.2817,169.8464,40.6,93,66,12.12,broken clouds
166,Srandakan,ID,-7.9386,110.2506,83.59,71,17,8.43,few clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,68.25,86,0,23.13,clear sky
168,Susehri,TR,40.1644,38.0867,61.05,88,80,3.4,broken clouds
169,Iwanai,JP,42.9744,140.5089,75.4,93,100,1.7,light rain
170,Fort Nelson,CA,58.8053,-122.7002,67.59,73,75,3.44,broken clouds
171,Port Elizabeth,ZA,-33.918,25.5701,57.49,72,0,13.8,clear sky
172,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.68,45,22,2.08,few clouds
173,Richards Bay,ZA,-28.783,32.0377,59.5,55,0,7.72,clear sky
174,Geraldton,AU,-28.7667,114.6,64.81,88,90,10.36,overcast clouds
175,Jumla,NP,29.2747,82.1838,66.9,86,99,1.57,overcast clouds
176,Jalu,LY,29.0331,21.5482,80.87,36,0,10.11,clear sky
177,Sairang,IN,23.8,92.6667,81.63,82,100,3.42,overcast clouds
178,Torrijos,ES,39.9819,-4.2835,72.55,89,0,9.33,clear sky
179,Coahuayana,MX,18.7333,-103.6833,81.88,87,96,5.28,overcast clouds
180,Balabac,PH,7.9868,117.0645,85.98,67,98,7.07,moderate rain
181,Bonavista,CA,48.6499,-53.1147,53.11,73,19,11.54,few clouds
182,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.26,88,32,7.14,scattered clouds
183,Pasni,PK,25.2631,63.471,79.86,80,100,6.08,overcast clouds
184,Ambilobe,MG,-13.2,49.05,66.07,85,55,2.08,broken clouds
185,Yenagoa,NG,4.9247,6.2642,72.99,93,100,2.46,overcast clouds
186,Oranjemund,NA,-28.55,16.4333,56.93,75,98,5.95,overcast clouds
187,Mahibadhoo,MV,3.7833,72.9667,83.55,72,99,15.39,overcast clouds
188,San Policarpo,PH,12.1791,125.5072,84.83,67,100,3.96,heavy intensity rain
189,Mahebourg,MU,-20.4081,57.7,69.26,94,20,5.75,moderate rain
190,Baculin,PH,7.4525,126.5842,77.99,84,100,3.78,heavy intensity rain
191,Srednekolymsk,RU,67.45,153.6833,72.45,34,10,4.54,clear sky
192,Sosnovskoye,RU,55.8052,43.167,72.34,59,100,5.12,light rain
193,San Rafael,AR,-34.6177,-68.3301,38.64,87,100,8.59,moderate rain
194,Bangui,CF,4.3612,18.555,73.58,94,75,2.3,mist
195,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.0,99,68,1.12,broken clouds
196,Saldanha,ZA,-33.0117,17.9442,51.85,69,89,19.6,overcast clouds
197,Totness,SR,5.8833,-56.3167,78.55,86,94,5.82,overcast clouds
198,Kodiak,US,57.79,-152.4072,60.31,59,75,9.22,broken clouds
199,Jacareacanga,BR,-6.2222,-57.7528,82.38,40,89,1.79,overcast clouds
200,Avarua,CK,-21.2078,-159.775,77.05,73,58,10.36,broken clouds
201,Ulagan,RU,50.6321,87.9563,70.23,46,53,0.22,broken clouds
202,Saint George,US,37.1041,-113.5841,97.39,11,1,1.99,clear sky
203,Morgan City,US,29.6994,-91.2068,82.99,94,1,4.61,clear sky
204,Roma,US,43.2128,-75.4557,73.54,89,1,5.75,clear sky
205,Tabas,IR,33.5959,56.9244,89.6,14,0,3.0,clear sky
206,Zyryanka,RU,65.75,150.85,73.17,39,8,11.23,clear sky
207,Atambua,ID,-9.1061,124.8925,83.55,49,7,2.04,clear sky
208,Katsuura,JP,35.1333,140.3,89.71,87,62,30.13,broken clouds
209,Japura,ID,-0.3167,102.35,90.54,55,64,1.63,broken clouds
210,Juybar,IR,36.6412,52.9124,78.96,64,0,5.21,clear sky
211,Thai Nguyen,VN,21.5928,105.8442,87.58,71,100,2.15,light rain
212,Salalah,OM,17.0151,54.0924,77.09,100,90,4.61,drizzle
213,Lebu,CL,-37.6167,-73.65,43.75,84,3,5.41,clear sky
214,Karratha,AU,-20.7377,116.8463,77.92,38,3,12.44,clear sky
215,Vagay,RU,57.9375,69.0217,67.73,80,88,5.1,overcast clouds
216,Kalachinsk,RU,55.0529,74.5751,67.14,84,71,9.98,broken clouds
217,Ust-Kuyga,RU,70.0167,135.6,82.53,27,64,4.59,broken clouds
218,Ola,RU,59.5833,151.2833,63.39,58,27,3.47,scattered clouds
219,Mineiros,BR,-17.5694,-52.5511,64.69,46,81,5.86,broken clouds
220,Lima,PE,-12.0432,-77.0282,59.25,82,90,10.36,overcast clouds
221,Guthrie,US,35.8789,-97.4253,87.69,74,90,10.36,overcast clouds
222,Faanui,PF,-16.4833,-151.75,79.34,77,27,12.73,light rain
223,San Ramon,US,37.7799,-121.978,78.28,69,1,1.01,smoke
224,Grindavik,IS,63.8424,-22.4338,56.55,88,75,13.8,broken clouds
225,Puerto Maldonado,PE,-12.6,-69.1833,75.97,53,64,0.87,broken clouds
226,Rivne,UA,50.6231,26.2274,65.84,94,0,6.71,clear sky
227,Boguchany,RU,58.3814,97.4531,74.68,49,66,6.64,broken clouds
228,Jijiga,ET,9.35,42.8,63.18,80,94,8.46,overcast clouds
229,Akureyri,IS,65.6835,-18.0878,48.13,100,40,5.75,scattered clouds
230,Abu Samrah,SY,35.3029,37.1841,75.25,63,0,11.45,clear sky
231,Cherskiy,RU,68.75,161.3,64.96,28,70,5.99,broken clouds
232,Surgut,RU,61.25,73.4167,62.78,100,75,6.71,mist
233,Hambantota,LK,6.1241,81.1185,86.34,74,20,12.66,few clouds
234,Tazovskiy,RU,67.4667,78.7,59.23,63,1,14.29,clear sky
235,West Fargo,US,46.875,-96.9004,77.0,75,1,3.0,clear sky
236,Pemba,MZ,-12.974,40.5178,69.1,78,1,10.2,clear sky
237,Talnakh,RU,69.4865,88.3972,70.75,43,30,5.99,scattered clouds
238,Kiunga,PG,-6.1219,141.2906,78.76,95,99,5.17,overcast clouds
239,Samarai,PG,-10.6167,150.6667,79.84,77,97,12.75,overcast clouds
240,Baruun-Urt,MN,46.6806,113.2792,69.76,54,60,9.48,broken clouds
241,Mokhsogollokh,RU,61.4681,128.9203,74.03,38,100,6.22,overcast clouds
242,Chokurdakh,RU,70.6333,147.9167,73.69,31,77,14.29,broken clouds
243,Komsomolskiy,UZ,40.4272,71.7189,86.72,26,0,6.91,clear sky
244,Amapa,BR,1.0,-52.0,70.18,99,77,1.25,broken clouds
245,Tiksi,RU,71.6872,128.8694,53.51,66,97,4.0,overcast clouds
246,Champerico,GT,14.3,-91.9167,81.03,93,100,10.74,overcast clouds
247,Maceio,BR,-9.6658,-35.7353,72.84,94,75,4.61,broken clouds
248,Whitehorse,CA,60.7161,-135.0538,54.37,71,90,16.11,overcast clouds
249,Kenai,US,60.5544,-151.2583,54.03,93,90,8.05,light rain
250,Kokopo,PG,-4.352,152.2633,85.44,62,78,10.67,broken clouds
251,Christchurch,NZ,-43.5333,172.6333,44.47,85,90,7.0,moderate rain
252,Machico,PT,32.7,-16.7667,70.0,80,40,4.61,scattered clouds
253,Cockburn Town,TC,21.4612,-71.1419,82.76,77,1,18.86,clear sky
254,Chuy,UY,-33.6971,-53.4616,57.43,96,81,7.65,moderate rain
255,Kavaratti,IN,10.5669,72.642,79.32,82,100,22.68,overcast clouds
256,Liku,ID,-0.7275,119.8922,86.04,65,52,2.91,broken clouds
257,Polunochnoye,RU,60.8697,60.4153,55.85,84,100,5.99,overcast clouds
258,Inhambane,MZ,-23.865,35.3833,61.86,76,0,6.13,clear sky
